kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
4,3,0.01,0.25,0.25485411286354065,29,0.9850809574127197,0.014919009990990162,,
4,3,0.01,0.25,0.261525958776474,29,0.9862970113754272,0.01370293740183115,,
4,3,0.01,0.1,0.27617326378822327,19,0.9710200428962708,0.028979981318116188,,
4,3,0.01,0.1,0.2806980013847351,19,0.9777729511260986,0.022227022796869278,,
3,5,0.01,0.75,0.24741967022418976,24,0.9986042380332947,0.001395718427374959,,
3,5,0.01,0.75,0.25146543979644775,23,0.9988906979560852,0.0011093424400314689,,
3,5,0.01,0.5,0.2586697041988373,24,0.9984757900238037,0.0015242068329825997,,
3,5,0.01,0.5,0.2576304078102112,24,0.9988811016082764,0.0011188857024535537,,
3,5,0.01,0.25,0.24946588277816772,11,0.9867047071456909,0.013295250944793224,,
3,5,0.01,0.25,0.24946588277816772,11,0.9867047071456909,0.013295250944793224,,
3,5,0.01,0.1,0.2520211935043335,24,0.9982798099517822,0.0017202008748427033,,
3,5,0.01,0.1,0.2551179826259613,24,0.9981956481933594,0.0018043386517092586,,
